run_number,start_timestamp,end_timestamp
1,2024-10-22 14:34:09.467008,2024-10-22 14:34:10.108114
2,2024-10-22 14:34:15.922952,2024-10-22 14:34:16.594412
3,2024-10-22 14:34:21.958287,2024-10-22 14:34:22.638868
4,2024-10-22 14:34:28.111030,2024-10-22 14:34:28.774403
5,2024-10-22 14:34:33.908199,2024-10-22 14:34:34.526541
6,2024-10-22 14:34:40.213662,2024-10-22 14:34:40.870609
7,2024-10-22 14:34:46.571162,2024-10-22 14:34:47.241513
8,2024-10-22 14:34:52.549407,2024-10-22 14:34:53.166808
9,2024-10-22 14:34:58.638066,2024-10-22 14:34:59.321401
10,2024-10-22 14:35:04.529094,2024-10-22 14:35:05.185023
